Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE,Postcode_py,address_py
31,Andhra Pradesh,Prakasam,Parchur,Adusumalli,14065,Health Centre,Adusmalli,24-Sep-19,Medical ,Community Health Centre,16.022085,80.31224833,522235,"Adusumalli, Adusumalli RV, Parchur, Bapatla District, Andhra Pradesh, 522235, India"
32,Andhra Pradesh,Anantapur,Bukkapatnam,Agraharam,15612,Community Health Center,Agraharam,15-Aug-19,Medical ,Community Health Centre,14.27215985,77.97037498,515154,"Pamudurti, Bukkapatnam, Sri Sathya Sai District, Andhra Pradesh, 515154, India"
33,Andhra Pradesh,Guntur,Gurazala,Daida,241922,Helth centar,Daida road,05-Sep-19,Medical ,Community Health Centre,16.63751667,79.60312833,522415,"Dadao, Gurazala, Palnadu District, Andhra Pradesh, India"
34,Andhra Pradesh,West Godavari,AKIVIDU,Ajjamurugaruvu,20242,star of hope hospital ,mainroad,08-Sep-19,Medical ,Community Health Centre,16.58226107,81.39273473,534235,"NH165, akividu triangle, Ajjamuru, Akividu, West Godavari District, Andhra Pradesh, 534235, India"
35,Andhra Pradesh,Anantapur,Gooty,Gooty RS,371174,Govt Hospital,Gooty RS,06-Oct-19,Medical ,Community Health Centre,15.12319833,77.63407833,515401,"Gooty - Kalaburgi Highway, Gooty, Anantapur District, Andhra Pradesh, 515401, India"
36,Andhra Pradesh,Anantapur,Narpala,Gugudu,381439,Hospital,Gugudu,20-Aug-19,Medical ,Bedded Hospital,14.67211738,77.86017522,515425,"Gugudu, Narpala, Anantapur District, Andhra Pradesh, 515425, India"
37,Andhra Pradesh,Guntur,Cherukupalle,Gullapalli,383468,Bedded hospital,Gullapalli,10-Aug-19,Medical ,Bedded Hospital,16.05104871,80.68268365,522309,"Sri Ramachandra Nursing Home, Cherukupalli - Bhattiprolu, Gullapalli, Cherukupalle H/O Arumbaka, Guntur District, Andhra Pradesh, 522309, India"
38,Andhra Pradesh,Y S R Kadapa,Lakkireddipalle,Devalampalli,262953,BeddedHospal,Devalampalli,05-Sep-19,Medical ,Bedded Hospital,14.13527264,78.662398,516257,"Grandhevandaipalle, Agrharamu, Lakkireddipalle, Annamayya District, Andhra Pradesh, 516257, India"
39,Andhra Pradesh,Srikakulam,Seethampeta,Devanapuram,263204,Health sub center building,Devanapuram,05-Sep-19,Medical ,Community Health Centre,18.70490533,83.81237824,532443,"Devanapuram, Seethampeta, Parvathipuram Manyam District, Andhra Pradesh, 532443, India"
40,Andhra Pradesh,Prakasam,Karamchedu,Daggubadu,240838,Community Health Centre,Daggubadu,13-Sep-19,Medical ,Community Health Centre,15.87167101,80.20894376,523169,"Parchuru - Inkollu Road, Maddukur, Vankayalapadu, Nuthalapdu RV, Inkollu, Bapatla District, Andhra Pradesh, 523169, India"
41,Andhra Pradesh,Nellore,Venkatachalam,Gudlurivaripalem,381086,hospetal,gvr palem,05-Sep-19,Medical ,Community Health Centre,14.23628148,80.03196888,524321,"Panjurupadu, Venkatachalam, Sri Potti Sriramulu Nellore District, Andhra Pradesh, 524321, India"
42,Andhra Pradesh,Guntur,Karempudi,Chintapalli,227505,Community Centre ,Temple road,05-Aug-19,Medical ,Community Health Centre,16.45438623,79.74641459,535204,"Chintapalli, Karempudi, Palnadu District, Andhra Pradesh, India"
43,Andhra Pradesh,Anantapur,Dharmavaram,Darsimala,252334,Hospital,The doctor Bedded hospital Hospital Darsimala,20-Aug-19,Medical ,Bedded Hospital,14.37341273,77.81863672,515671,"Dharmavaram, Sri Sathya Sai District, Andhra Pradesh, 515671, India"
44,Andhra Pradesh,East Godavari,Allavaram,Allavaram,26465,Community Health center,Allavaram,31-Aug-19,Medical ,Community Health Centre,16.50095613,81.98178145,533217,"Amalapuram - Bendamurlanka Road, Godilanka, Allavaram, Dr. B. R. Ambedkar Konaseema District, Andhra Pradesh, 533217, India"
45,Andhra Pradesh,Kurnool,Alur,Alur,27287,Community Health Centre Alur,Alur Guntakal Road,26-Sep-19,Medical ,Community Health Centre,15.39562059,77.2257002,518395,"Alur - Holagunda - Honnur Road, Aluru, Alur, Kurnool District, Andhra Pradesh, 518395, India"
46,Andhra Pradesh,Krishna,Vatsavai,Pollampalli,860411,Community health center,Polampalli,24-Aug-19,Medical ,Community Health Centre,17.00752952,80.1870309,521402,"Dubbakupalle, Vatsavai, NTR District, Andhra Pradesh, 521402, India"
47,Andhra Pradesh,Y S R Kadapa,S A Kasinayana,Amagampalli,27619,community health,Mydukur ROAD ,07-Sep-19,Medical ,Community Health Centre,14.91681167,78.90184333,516193,"NH167B, Amagampalle, Sri Avadhutha Kasinayana, YSR District, Andhra Pradesh, India"
48,Andhra Pradesh,Y S R Kadapa,Porumamilla,Porumamilla,863092,Bedded hospital,Porumamilla,04-Sep-19,Medical ,Bedded Hospital,15.00455571,78.98974723,516193,"Porumamilla, YSR District, Andhra Pradesh, 516193, India"
49,Andhra Pradesh,East Godavari,Prathipadu,Prathipadu,865968,community health center,Prathipadu,21-Aug-19,Medical ,Community Health Centre,17.23344167,82.18595,533432,"Community Health Centre, Prathipadu, Samarlakota - Prathipadu Road, Kirlampudi, East Godavari, Kakinada District, Andhra Pradesh, 533432, India"
50,Andhra Pradesh,West Godavari,Thallapudi,Annadevarapeta,40455,Bedded hospital ,Anndevarapeta,01-Aug-19,Medical ,Bedded Hospital,17.1225809,81.61720952,534341,"Annadevarapeta, Tallapudi, East Godavari District, Andhra Pradesh, 534341, India"
51,Andhra Pradesh,Y S R Kadapa,Pulivendla,Pulivendula,869079,Hospital,pulivendla,20-Aug-19,Medical ,Community Health Centre,14.42488333,78.23153167,516390,"Pulivendla, YSR District, Andhra Pradesh, 516390, India"
52,Andhra Pradesh,West Godavari,Palacole,Poolapalli,861631,bedded hospital ,poolalalli,14-Aug-19,Medical ,Bedded Hospital,16.51968262,81.7124659,534260,"Pullapalle, Palakollu, Palacole, West Godavari District, Andhra Pradesh, 534260, India"
53,Andhra Pradesh,Krishna,Vijayawada Rural,Prasadampadu,865314,Best hospital,near Andra bank,22-Aug-19,Medical ,Bedded Hospital,16.52081833,80.69198167,521108,"Best Hospital, NH16, Vijayawada (Rural), NTR District, Andhra Pradesh, 521108, India"
54,Andhra Pradesh,Kurnool,Kodumur,Pyalakurthy,882837,Primary health Sub Centre,Pyalakurthy,27-Aug-19,Medical ,Community Health Centre,15.72788839,77.8160561,523002,"Pyalakurti, Kodumur, Kurnool District, Andhra Pradesh, India"
55,Andhra Pradesh,Visakhapatnam,Araku Valley,Arakuvalley,43506,beaded hospitals ,Araku valley ,04-Sep-19,Medical ,Bedded Hospital,18.32432498,82.88547613,531151,"Thamalguda, Araku Valley, Alluri Sitharama Raju District, Andhra Pradesh, 531151, India"
56,Andhra Pradesh,Chittoor,Punganur,Punganur Rural,870132,Govt Hospital Punganur,"Govt Hospital
Punganur",04-Sep-19,Medical ,Bedded Hospital,13.36160759,78.55981026,517247,"Punganuru - Kolar Road, Punganuru, Punganur, Chittoor District, Andhra Pradesh, 517247, India"
57,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Singannabanda,994533,ANM SUB CENTER ,Singannabanda,01-Aug-19,Medical ,Bedded Hospital,17.96371,83.402305,531162,"Singanabanda, Bheemunipatnam, Visakhapatnam District, Andhra Pradesh, 531162, India"
58,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Singannabanda,994533,GITAM INSTITUTE OF MDICAL SCIENCES,Rajapulova,01-Aug-19,Medical ,Community Health Centre,17.96609167,83.41987,535005,"NH26, Muddadapeta, Bheemunipatnam, Visakhapatnam District, Andhra Pradesh, 535005, India"
59,Andhra Pradesh,Srikakulam,Srikakulam,Ragolu,886706,GEMS hospital,ragolu road,04-Sep-19,Medical ,Bedded Hospital,18.35076398,83.90363277,532001,"Ravipadu, Srikakulam, Srikakulam District, Andhra Pradesh, 532001, India"
60,Andhra Pradesh,Guntur,Veldurthi,Sirigiripadu,997441,hospital,Srisailam Road,28-Aug-19,Medical ,Bedded Hospital,16.30986457,79.32932421,522613,"PHC, Srigiripadu, Starting Of Village, Veldurthi, Palnadu District, Andhra Pradesh, 522613, India"
61,Andhra Pradesh,Krishna,Avanigadda,Avanigadda,53809,Community Helth Centre ,Avanigadda ,27-Aug-19,Medical ,Community Health Centre,16.01859986,80.91406436,521121,"PPU Avanigadda, Gudivada - Challapalli - T.Kothapalem Road, Avanigadda, Krishna District, Andhra Pradesh, 521121, India"
62,Andhra Pradesh,Kurnool,Devanakonda,Devanakonda,263171,Primary health centre Devanakonda,Near Andhra Pragathi Grameena Bank,27-Aug-19,Medical ,Bedded Hospital,15.53907469,77.54673575,518465,"Maddikera - Pattikonda - Devanakonda Road, Kanakadinne, Pattikonda, Kurnool District, Andhra Pradesh, 518465, India"
63,Andhra Pradesh,Visakhapatnam,Gangaraju Madugula,Solabham,1003336,community health center ,solabham ,08-Sep-19,Medical ,Community Health Centre,17.97223379,82.58338287,531029,"Tatalagondi, Solabham, G.Madugula, Andhra Pradesh, 531029, India"
64,Andhra Pradesh,West Godavari,Nidadavole,Singavaram,994950,Community health centre,singavaram near nidadavole,21-Aug-19,Medical ,Community Health Centre,16.90404033,81.67100139,534301,"Nidadavolu, Nidadavole, East Godavari District, Andhra Pradesh, 534301, India"
65,Andhra Pradesh,Vizianagaram,Gajapathinagaram,Gajapathinagaram,337268,bedding hospital,gajapathinagaram,06-Sep-19,Medical ,Bedded Hospital,18.27895366,83.33820591,535270,"Community Health centre, Gajapathinagaram, Opposite State bank Of India, Gajapathinagaram, Vizianagaram District, Andhra Pradesh, 535270, India"
66,Andhra Pradesh,Krishna,Vuyyuru,Gandigunta,341262,Bedded hospital,Gandigunta,27-Aug-19,Medical ,Bedded Hospital,16.38151099,80.84988878,521165,"Telaprolu - Vuyyuru - Valluru Road, Viravalli, Vuyyuru, Krishna District, Andhra Pradesh, 521165, India"
67,Andhra Pradesh,Visakhapatnam,Payakaraopeta,Srirampuram,1011043,Government hospital,Srirampuram road,02-Sep-19,Medical ,Community Health Centre,17.3150629,82.57349544,531126,"Sriramapuram, Payakaraopeta, Anakapalli District, Andhra Pradesh, 531126, India"
68,Andhra Pradesh,Krishna,Gannavaram,Gannavaram,345426,community health center,gannavaram,27-Aug-19,Medical ,Community Health Centre,16.53914988,80.79944909,521286,"NH16, Kesarapalle, Chinna Avutapalli, Gannavaram, Krishna District, Andhra Pradesh, 521286, India"
69,Andhra Pradesh,Krishna,Machilipatnam,Garaladibba,346766,Beded Hospital ,Machilipatnam ,26-Sep-19,Medical ,Bedded Hospital,16.17797317,81.13786038,521001,"Ullankapalem, Machilipatnam, Krishna District, Andhra Pradesh, 521001, India"
70,Andhra Pradesh,Chittoor,Chandragiri,Chandragiri,203648,Modal Rural health research unit,Chandragiri,28-Aug-19,Medical ,Bedded Hospital,13.58847878,79.31656436,517100,"Agraharam, Chandragiri, Tirupati District, Andhra Pradesh, 517100, India"
71,Andhra Pradesh,Anantapur,Tadimarri,Tadimarri,1024785,Govt hospital,Tadimarri,08-Aug-19,Medical ,Bedded Hospital,14.55994201,77.85757772,515631,"Tadimarri, Sri Sathya Sai District, Andhra Pradesh, 515631, India"
72,Andhra Pradesh,Prakasam,Giddaluru,Giddalur,361282,Bedded hospotal,Giddalur,22-Aug-19,Medical ,Bedded Hospital,15.36898021,78.91953237,523357,"Ppu Giddaluru, SH394, Singampalle, Sanjivaraopeta, Giddalur, Prakasam District, Andhra Pradesh, 523357, India"
73,Andhra Pradesh,Anantapur,Chenne Kothapalle,Chennekothapalle,214276,community health centre,Medical officer,16-Aug-19,Medical ,Community Health Centre,14.27094312,77.62527201,515100,"Nyamaddala, Chennekothapalle, Sri Sathya Sai District, Andhra Pradesh, 515100, India"
74,Andhra Pradesh,West Godavari,Palakoderu,Goraganamudi,374006,Sri Krishnamraju memorial Hospital,Main road,05-Sep-19,Medical ,Bedded Hospital,16.55084833,81.57363167,534203,"NH165, Goragannamudi, Palacoderu, West Godavari District, Andhra Pradesh, 534203, India"
75,Andhra Pradesh,Kurnool,Kodumur,Gorantla,374340,Primary health Sub Centre,Gorantla,26-Aug-19,Medical ,Community Health Centre,15.63040431,77.83618542,522034,"Chart road, Gorantla, Kodumur, Kurnool District, Andhra Pradesh, India"
76,Andhra Pradesh,Kurnool,Panyam,Panyam,821295,community health centre,near BC colony,19-Aug-19,Medical ,Community Health Centre,15.51969152,78.34803795,518112,"Panyam, Nandyal District, Andhra Pradesh, 518112, India"
77,Andhra Pradesh,East Godavari,Gokavaram,Gokavaram,367257,Community  Health centre,Gokavaram,01-Sep-19,Medical ,Community Health Centre,17.25747992,81.85032839,533286,"CHC, Gokavaram, NH516E, Kotturu, Gokavaram, East Godavari District, Andhra Pradesh, 533286, India"
78,Andhra Pradesh,Guntur,Mangalagiri,Chinakakani,224303,Bedded hospital,chinakakani,16-Aug-19,Medical ,Bedded Hospital,16.41442971,80.55790059,522500,"NRI Academy of Sciences, NH16, Chinakakani, Mangalagiri, Guntur District, Andhra Pradesh, 522500, India"
79,Andhra Pradesh,Kurnool,Gonegandla,Gonegandla,370719,Bedded Hospital,gonegandla,02-Aug-19,Medical ,Bedded Hospital,15.71040908,77.59374569,518463,"Primary Health Centre, Kodumur - Yemmiganur Road, Gonegandla, Kurnool District, Andhra Pradesh, 518463, India"
80,Andhra Pradesh,East Godavari,Ambajipeta,Ambajipeta,29937,Bedded Hospital,Ambajipets,29-Aug-19,Medical ,Bedded Hospital,16.58534667,81.94923333,533221,"Ambajipeta, Dr. B. R. Ambedkar Konaseema District, Andhra Pradesh, 533221, India"
81,Andhra Pradesh,Vizianagaram,Jiyyamma Valasa,Chinamerangi,224393,30 Beds Hospital,Chinamerangi,12-Sep-19,Medical ,Bedded Hospital,18.83684417,83.55012901,535526,"Pedamerangi Junction - Jiyyammavalasa - Gadisingupuram Road, Chinna Tumbali, Alluvada, Jiyyammavalasa, Parvathipuram Manyam District, Andhra Pradesh, 535526, India"
82,Andhra Pradesh,West Godavari,Gopalapuram,Gopalapuram,371603,community health centre,gopalapuram,05-Sep-19,Medical ,Community Health Centre,17.10020939,81.54970855,534316,"Government Hospital, Prakkilanka - Koyyalagudem Road, Gopalapuram, West Godavari District, Andhra Pradesh, 534316, India"
83,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Patha Mulakuddu,835685,Anits hospital,Sanghivalasa,04-Sep-19,Medical ,Bedded Hospital,17.9225,83.42604833,531162,"Santapeta, Tagarapuvalasa, Bheemunipatnam, Visakhapatnam District, Andhra Pradesh, 531162, India"
84,Andhra Pradesh,East Godavari,Anaparthi,Anaparthi,36925,hospital,near panchayathi office,27-Aug-19,Medical ,Bedded Hospital,16.93310738,81.95613027,533342,"Government Hospital,Anaparthy, SH17, Bikkavolu, Anaparthy, East Godavari District, Andhra Pradesh, 533342, India"
85,Andhra Pradesh,Anantapur,Obuladevaracheruvu,Gownipalli,379318,Community Health Center,Gownipalli,07-Aug-19,Medical ,Community Health Centre,13.98042045,77.91927801,515561,"Hindupur - Kadiri Road, Allapalle Quarters, Obuladevaracheruvu, Sri Sathya Sai District, Andhra Pradesh, 515561, India"
86,Andhra Pradesh,Vizianagaram,Gummalakshmipuram,Gummalaxmipuram,384196,CHC,GL Puram,13-Sep-19,Medical ,Community Health Centre,18.97574645,83.66014401,535001,"Gumma Laxmipuram Road, Alavada, Gumma Lakshmipuram, Gummalakshmipuram, Parvathipuram Manyam District, Andhra Pradesh, India"
87,Andhra Pradesh,Guntur,Veldurthi,Gangalakunta,343119,hospital,gangalakunta,31-Aug-19,Medical ,Community Health Centre,16.31315462,79.28827813,522613,"Gangulagunta, Veldurthi, Palnadu District, Andhra Pradesh, 522613, India"
88,Andhra Pradesh,Guntur,Gurazala,Gurzala,388661,hospital,k road,28-Aug-19,Medical ,Bedded Hospital,16.55601579,79.63751502,522415,"sri patha pateshwari amma vari temple, Nekarikallu - Gurazala Road, Guruzala, Gurazala, Palnadu District, Andhra Pradesh, 522415, India"
89,Andhra Pradesh,Chittoor,Mandanpalle,Arogyavaram,46768,Bedded hospital,Arogyavaram,11-Aug-19,Medical ,Bedded Hospital,13.59720008,78.52884635,517325,"Anantpur - Madanapalle - Tirupathi - Tirutani - Chennai, Santinagar, Madanapalle, Annamayya District, Andhra Pradesh, 517325, India"
90,Andhra Pradesh,Kurnool,Aspari,Aspari,49858,primary health center Aspari,Near Police station,27-Aug-19,Medical ,Bedded Hospital,15.47847615,77.3873009,518347,"Government hospital, Aspari, Adoni Division, Aspari, Kurnool District, Andhra Pradesh, 518347, India"
91,Andhra Pradesh,Krishna,Gudlavalleru,Gudlavalleru,381061,bedded hospital,opp  SBI BANK,19-Aug-19,Medical ,Bedded Hospital,16.3489777,81.04965258,521356,"Gudlavalleru, Krishna District, Andhra Pradesh, 521356, India"
92,Andhra Pradesh,Visakhapatnam,Araku Valley,Guggudu,381404,community health center ,guggudu ,09-Sep-19,Medical ,Community Health Centre,18.25281532,82.88782231,531149,"Manjuguda, Doraguda, Araku Valley, Alluri Sitharama Raju District, Andhra Pradesh, 531149, India"
93,Andhra Pradesh,Guntur,Dachepalle,Dachepalli,239111,hospital,near bridge,24-Aug-19,Medical ,Bedded Hospital,16.59557649,79.7381057,522414,"Primary Health Centre, Dachepalli, Dachepalli, Guntur, Palnadu District, Andhra Pradesh, 522414, India"
94,Andhra Pradesh,Anantapur,Gorantla,Gorantla,374339,Hospital,The doctor Bedded hospital Gorantla ,12-Aug-19,Medical ,Bedded Hospital,13.98340536,77.77401296,515231,"Hindupur - Kadiri Road, Gorantla, Sri Sathya Sai District, Andhra Pradesh, 515231, India"
95,Andhra Pradesh,Visakhapatnam,Araku Valley,Siragam,996897,community health center ,siragam ,09-Sep-19,Medical ,Community Health Centre,18.286981,82.85240474,531151,"Sirgam, Araku Valley, Andhra Pradesh, 531151, India"
96,Andhra Pradesh,Visakhapatnam,Chodavaram,Chodavaram,230641,Govt hospital,Kothuru,01-Aug-19,Medical ,Bedded Hospital,17.82666754,82.94067525,531036,"Bangarampalem, Pakirsahebpeta, Chodavaram, Anakapalli District, Andhra Pradesh, 531036, India"
97,Andhra Pradesh,Vizianagaram,Cheepurupalle,Gollalamulagam,368773,community health center,"Gollalamulagam, cheepurupalli",03-Sep-19,Medical ,Community Health Centre,18.23370761,83.61364741,535001,"Gollamulagama, Cheepurupalle, Vizianagaram District, Andhra Pradesh, India"
98,Andhra Pradesh,Visakhapatnam,Pedabayalu,Gomangi,369834,health centre ,gomangi,09-Sep-19,Medical ,Community Health Centre,18.20991682,82.4936868,530001,"Ganni, Peda Bayalu, Andhra Pradesh, India"
99,Andhra Pradesh,Chittoor,Vijaya Puram,Sriharipuram,1010299,community heath center,NK road,25-Aug-19,Medical ,Community Health Centre,13.23115333,79.76860167,517586,"Mangalam, Mahavirapuram, Vijayapuram, Chittoor District, Andhra Pradesh, 517586, India"
