Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
43,Andhra Pradesh,Anantapur,Dharmavaram,Darsimala,252334,Hospital,The doctor Bedded hospital Hospital Darsimala,20-Aug-19,Medical ,Bedded Hospital,14.37341273,77.81863672
44,Andhra Pradesh,East Godavari,Allavaram,Allavaram,26465,Community Health center,Allavaram,31-Aug-19,Medical ,Community Health Centre,16.50095613,81.98178145
45,Andhra Pradesh,Kurnool,Alur,Alur,27287,Community Health Centre Alur,Alur Guntakal Road,26-Sep-19,Medical ,Community Health Centre,15.39562059,77.2257002
46,Andhra Pradesh,Krishna,Vatsavai,Pollampalli,860411,Community health center,Polampalli,24-Aug-19,Medical ,Community Health Centre,17.00752952,80.1870309
47,Andhra Pradesh,Y S R Kadapa,S A Kasinayana,Amagampalli,27619,community health,Mydukur ROAD ,07-Sep-19,Medical ,Community Health Centre,14.91681167,78.90184333
48,Andhra Pradesh,Y S R Kadapa,Porumamilla,Porumamilla,863092,Bedded hospital,Porumamilla,04-Sep-19,Medical ,Bedded Hospital,15.00455571,78.98974723
49,Andhra Pradesh,East Godavari,Prathipadu,Prathipadu,865968,community health center,Prathipadu,21-Aug-19,Medical ,Community Health Centre,17.23344167,82.18595
50,Andhra Pradesh,West Godavari,Thallapudi,Annadevarapeta,40455,Bedded hospital ,Anndevarapeta,01-Aug-19,Medical ,Bedded Hospital,17.1225809,81.61720952
51,Andhra Pradesh,Y S R Kadapa,Pulivendla,Pulivendula,869079,Hospital,pulivendla,20-Aug-19,Medical ,Community Health Centre,14.42488333,78.23153167
52,Andhra Pradesh,West Godavari,Palacole,Poolapalli,861631,bedded hospital ,poolalalli,14-Aug-19,Medical ,Bedded Hospital,16.51968262,81.7124659
53,Andhra Pradesh,Krishna,Vijayawada Rural,Prasadampadu,865314,Best hospital,near Andra bank,22-Aug-19,Medical ,Bedded Hospital,16.52081833,80.69198167
54,Andhra Pradesh,Kurnool,Kodumur,Pyalakurthy,882837,Primary health Sub Centre,Pyalakurthy,27-Aug-19,Medical ,Community Health Centre,15.72788839,77.8160561
55,Andhra Pradesh,Visakhapatnam,Araku Valley,Arakuvalley,43506,beaded hospitals ,Araku valley ,04-Sep-19,Medical ,Bedded Hospital,18.32432498,82.88547613
56,Andhra Pradesh,Chittoor,Punganur,Punganur Rural,870132,Govt Hospital Punganur,"Govt Hospital
Punganur",04-Sep-19,Medical ,Bedded Hospital,13.36160759,78.55981026
57,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Singannabanda,994533,ANM SUB CENTER ,Singannabanda,01-Aug-19,Medical ,Bedded Hospital,17.96371,83.402305
58,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Singannabanda,994533,GITAM INSTITUTE OF MDICAL SCIENCES,Rajapulova,01-Aug-19,Medical ,Community Health Centre,17.96609167,83.41987
59,Andhra Pradesh,Srikakulam,Srikakulam,Ragolu,886706,GEMS hospital,ragolu road,04-Sep-19,Medical ,Bedded Hospital,18.35076398,83.90363277
60,Andhra Pradesh,Guntur,Veldurthi,Sirigiripadu,997441,hospital,Srisailam Road,28-Aug-19,Medical ,Bedded Hospital,16.30986457,79.32932421
61,Andhra Pradesh,Krishna,Avanigadda,Avanigadda,53809,Community Helth Centre ,Avanigadda ,27-Aug-19,Medical ,Community Health Centre,16.01859986,80.91406436
62,Andhra Pradesh,Kurnool,Devanakonda,Devanakonda,263171,Primary health centre Devanakonda,Near Andhra Pragathi Grameena Bank,27-Aug-19,Medical ,Bedded Hospital,15.53907469,77.54673575
63,Andhra Pradesh,Visakhapatnam,Gangaraju Madugula,Solabham,1003336,community health center ,solabham ,08-Sep-19,Medical ,Community Health Centre,17.97223379,82.58338287
64,Andhra Pradesh,West Godavari,Nidadavole,Singavaram,994950,Community health centre,singavaram near nidadavole,21-Aug-19,Medical ,Community Health Centre,16.90404033,81.67100139
65,Andhra Pradesh,Vizianagaram,Gajapathinagaram,Gajapathinagaram,337268,bedding hospital,gajapathinagaram,06-Sep-19,Medical ,Bedded Hospital,18.27895366,83.33820591
66,Andhra Pradesh,Krishna,Vuyyuru,Gandigunta,341262,Bedded hospital,Gandigunta,27-Aug-19,Medical ,Bedded Hospital,16.38151099,80.84988878
67,Andhra Pradesh,Visakhapatnam,Payakaraopeta,Srirampuram,1011043,Government hospital,Srirampuram road,02-Sep-19,Medical ,Community Health Centre,17.3150629,82.57349544
68,Andhra Pradesh,Krishna,Gannavaram,Gannavaram,345426,community health center,gannavaram,27-Aug-19,Medical ,Community Health Centre,16.53914988,80.79944909
69,Andhra Pradesh,Krishna,Machilipatnam,Garaladibba,346766,Beded Hospital ,Machilipatnam ,26-Sep-19,Medical ,Bedded Hospital,16.17797317,81.13786038
70,Andhra Pradesh,Chittoor,Chandragiri,Chandragiri,203648,Modal Rural health research unit,Chandragiri,28-Aug-19,Medical ,Bedded Hospital,13.58847878,79.31656436
71,Andhra Pradesh,Anantapur,Tadimarri,Tadimarri,1024785,Govt hospital,Tadimarri,08-Aug-19,Medical ,Bedded Hospital,14.55994201,77.85757772
72,Andhra Pradesh,Prakasam,Giddaluru,Giddalur,361282,Bedded hospotal,Giddalur,22-Aug-19,Medical ,Bedded Hospital,15.36898021,78.91953237
73,Andhra Pradesh,Anantapur,Chenne Kothapalle,Chennekothapalle,214276,community health centre,Medical officer,16-Aug-19,Medical ,Community Health Centre,14.27094312,77.62527201
74,Andhra Pradesh,West Godavari,Palakoderu,Goraganamudi,374006,Sri Krishnamraju memorial Hospital,Main road,05-Sep-19,Medical ,Bedded Hospital,16.55084833,81.57363167
75,Andhra Pradesh,Kurnool,Kodumur,Gorantla,374340,Primary health Sub Centre,Gorantla,26-Aug-19,Medical ,Community Health Centre,15.63040431,77.83618542
76,Andhra Pradesh,Kurnool,Panyam,Panyam,821295,community health centre,near BC colony,19-Aug-19,Medical ,Community Health Centre,15.51969152,78.34803795
77,Andhra Pradesh,East Godavari,Gokavaram,Gokavaram,367257,Community  Health centre,Gokavaram,01-Sep-19,Medical ,Community Health Centre,17.25747992,81.85032839
78,Andhra Pradesh,Guntur,Mangalagiri,Chinakakani,224303,Bedded hospital,chinakakani,16-Aug-19,Medical ,Bedded Hospital,16.41442971,80.55790059
79,Andhra Pradesh,Kurnool,Gonegandla,Gonegandla,370719,Bedded Hospital,gonegandla,02-Aug-19,Medical ,Bedded Hospital,15.71040908,77.59374569
80,Andhra Pradesh,East Godavari,Ambajipeta,Ambajipeta,29937,Bedded Hospital,Ambajipets,29-Aug-19,Medical ,Bedded Hospital,16.58534667,81.94923333
81,Andhra Pradesh,Vizianagaram,Jiyyamma Valasa,Chinamerangi,224393,30 Beds Hospital,Chinamerangi,12-Sep-19,Medical ,Bedded Hospital,18.83684417,83.55012901
82,Andhra Pradesh,West Godavari,Gopalapuram,Gopalapuram,371603,community health centre,gopalapuram,05-Sep-19,Medical ,Community Health Centre,17.10020939,81.54970855
83,Andhra Pradesh,Visakhapatnam,Bheemunipatnam,Patha Mulakuddu,835685,Anits hospital,Sanghivalasa,04-Sep-19,Medical ,Bedded Hospital,17.9225,83.42604833
84,Andhra Pradesh,East Godavari,Anaparthi,Anaparthi,36925,hospital,near panchayathi office,27-Aug-19,Medical ,Bedded Hospital,16.93310738,81.95613027
85,Andhra Pradesh,Anantapur,Obuladevaracheruvu,Gownipalli,379318,Community Health Center,Gownipalli,07-Aug-19,Medical ,Community Health Centre,13.98042045,77.91927801
86,Andhra Pradesh,Vizianagaram,Gummalakshmipuram,Gummalaxmipuram,384196,CHC,GL Puram,13-Sep-19,Medical ,Community Health Centre,18.97574645,83.66014401
87,Andhra Pradesh,Guntur,Veldurthi,Gangalakunta,343119,hospital,gangalakunta,31-Aug-19,Medical ,Community Health Centre,16.31315462,79.28827813
88,Andhra Pradesh,Guntur,Gurazala,Gurzala,388661,hospital,k road,28-Aug-19,Medical ,Bedded Hospital,16.55601579,79.63751502
89,Andhra Pradesh,Chittoor,Mandanpalle,Arogyavaram,46768,Bedded hospital,Arogyavaram,11-Aug-19,Medical ,Bedded Hospital,13.59720008,78.52884635
90,Andhra Pradesh,Kurnool,Aspari,Aspari,49858,primary health center Aspari,Near Police station,27-Aug-19,Medical ,Bedded Hospital,15.47847615,77.3873009
91,Andhra Pradesh,Krishna,Gudlavalleru,Gudlavalleru,381061,bedded hospital,opp  SBI BANK,19-Aug-19,Medical ,Bedded Hospital,16.3489777,81.04965258
92,Andhra Pradesh,Visakhapatnam,Araku Valley,Guggudu,381404,community health center ,guggudu ,09-Sep-19,Medical ,Community Health Centre,18.25281532,82.88782231
93,Andhra Pradesh,Guntur,Dachepalle,Dachepalli,239111,hospital,near bridge,24-Aug-19,Medical ,Bedded Hospital,16.59557649,79.7381057
94,Andhra Pradesh,Anantapur,Gorantla,Gorantla,374339,Hospital,The doctor Bedded hospital Gorantla ,12-Aug-19,Medical ,Bedded Hospital,13.98340536,77.77401296
95,Andhra Pradesh,Visakhapatnam,Araku Valley,Siragam,996897,community health center ,siragam ,09-Sep-19,Medical ,Community Health Centre,18.286981,82.85240474
96,Andhra Pradesh,Visakhapatnam,Chodavaram,Chodavaram,230641,Govt hospital,Kothuru,01-Aug-19,Medical ,Bedded Hospital,17.82666754,82.94067525
97,Andhra Pradesh,Vizianagaram,Cheepurupalle,Gollalamulagam,368773,community health center,"Gollalamulagam, cheepurupalli",03-Sep-19,Medical ,Community Health Centre,18.23370761,83.61364741
98,Andhra Pradesh,Visakhapatnam,Pedabayalu,Gomangi,369834,health centre ,gomangi,09-Sep-19,Medical ,Community Health Centre,18.20991682,82.4936868
99,Andhra Pradesh,Chittoor,Vijaya Puram,Sriharipuram,1010299,community heath center,NK road,25-Aug-19,Medical ,Community Health Centre,13.23115333,79.76860167
100,Andhra Pradesh,Kurnool,Srisailam,Sundipenta Srisailam Project,1018257,community health centre,near church,20-Aug-19,Medical ,Community Health Centre,16.07129269,78.91008919
101,Andhra Pradesh,Krishna,Gudur,Guduru,381278,CHC,guduru,03-Aug-19,Medical ,Community Health Centre,16.21465619,81.07744878
102,Andhra Pradesh,Kurnool,Owk,Owk,797042,Community Health centre,Main Road,10-Aug-19,Medical ,Bedded Hospital,15.20988493,78.11568422
103,Andhra Pradesh,Chittoor,Pedda Panjani,Sivadi,1000586,JMJ HOSPITAL ,Sivadi ,29-Aug-19,Medical ,Bedded Hospital,13.22473498,78.6194304
104,Andhra Pradesh,Chittoor,Sodam,Sodam,1002222,community health centre,"maliliit rad,sodam",28-Aug-19,Medical ,Community Health Centre,13.54873667,78.90682037
105,Andhra Pradesh,Chittoor,Veduru Kuppam,Pachikapallam,800264,Bessed Hospital ,Pachikapalam,16-Aug-19,Medical ,Bedded Hospital,13.44733,79.36924696
106,Andhra Pradesh,Y S R Kadapa,T Sundupalle,T.Sundupalle,1024322,Bedded Hospital,T Sundupalli,17-Aug-19,Medical ,Bedded Hospital,13.98157667,78.91625
107,Andhra Pradesh,Prakasam,Darsi,Darsi,252326,chs,DARSI,05-Sep-19,Medical ,Community Health Centre,15.77377594,79.67841835
108,Andhra Pradesh,Chittoor,Palamaner,Palamaner,808956,Area Hospital ,Palamaner ,01-Oct-19,Medical ,Bedded Hospital,13.19889286,78.74763929
109,Andhra Pradesh,Chittoor,Palasamudram,Palasamudram,809456,Bedded hospital ,Palasamudram,09-Sep-19,Medical ,Bedded Hospital,13.20898354,79.39430416
110,Andhra Pradesh,Prakasam,Komarolu,Suravaripalli,1020106,suravaripalli,suravaripalli,11-Sep-19,Medical ,Community Health Centre,15.26131754,78.96903478
111,Andhra Pradesh,Nellore,Sullurpeta,Sulluru Japthikattubadi,1016012,Community Health center,Sullurupet,21-Aug-19,Medical ,Community Health Centre,13.70069745,80.01895806
112,Andhra Pradesh,Anantapur,Vidapanakal,Palthuru,812986,community health centre ,palthur ,16-Aug-19,Medical ,Community Health Centre,14.97711944,77.15241303
113,Andhra Pradesh,West Godavari,Achanta,Achanta,10406,community health centre,achanta,04-Sep-19,Medical ,Community Health Centre,16.6023843,81.8004891
114,Andhra Pradesh,Visakhapatnam,Anandapuram,Anandapuram,36246,PH centre,Village end,17-Aug-19,Medical ,Bedded Hospital,17.89389678,83.37165785
115,Andhra Pradesh,Anantapur,Singanamala,Singanamala,994496,community Health center,singanamala,16-Aug-19,Medical ,Community Health Centre,14.80315301,77.71815857
116,Andhra Pradesh,East Godavari,Tallarevu,Tallarevu,1029369,community health center,Tallarevu,20-Aug-19,Medical ,Community Health Centre,16.78614392,82.23252309
117,Andhra Pradesh,Srikakulam,Sompeta,Sompeta urban jsompeta,1004545,community health center,opposite bus stand,06-Sep-19,Medical ,Community Health Centre,18.948042,84.58380069
118,Andhra Pradesh,Visakhapatnam,Koyyuru,Rajendrapalem,892575,bedded hospital ,Rajendrapalem ,07-Sep-19,Medical ,Bedded Hospital,17.6560328,82.2177792
119,Andhra Pradesh,East Godavari,Alamuru,Alamuru,24101,CHC,Near main road ,05-Sep-19,Medical ,Community Health Centre,16.788493,81.8880411
120,Andhra Pradesh,West Godavari,Penugonda,Ramannapalem,900127,beded hospital,ramannapalem,21-Aug-19,Medical ,Bedded Hospital,16.65483235,81.79634064
121,Andhra Pradesh,Kurnool,Atmakur,Atmakur,52139,Community health centre,on court road near Gareeb nagar,20-Aug-19,Medical ,Community Health Centre,15.87622645,78.57587039
122,Andhra Pradesh,East Godavari,Addateegala,Addateegala,12115,community health centre,addateegal,27-Aug-19,Medical ,Community Health Centre,17.48007851,82.02234266
123,Andhra Pradesh,Kurnool,Kowthalam,Badinehal,63571,BEDDED HOSPITAL,BADINEHAL,01-Aug-19,Medical ,Bedded Hospital,15.71682665,77.16112883
124,Andhra Pradesh,Nellore,Allur,Allur,26743,medical ,village entrance,20-Aug-19,Medical ,Bedded Hospital,14.68126559,80.04917144
125,Andhra Pradesh,Prakasam,Addanki,Addanki,12095,govt hospital,addanki town,14-Aug-19,Medical ,Bedded Hospital,15.81061149,79.97050371
126,Andhra Pradesh,Chittoor,Tirupati Urban,AKKARAMPALLE,22194,hospetal,akkarampalli,31-Aug-19,Medical ,Bedded Hospital,13.64439684,79.4364839
127,Andhra Pradesh,East Godavari,Pithapuram,Agraharam Rural,15671,cmc hospital,side of r& b road,30-Aug-19,Medical ,Bedded Hospital,17.125581,82.2546871
128,Andhra Pradesh,Nellore,Atmakur,Atmakur,52136,Districthospital,at mainroad,26-Sep-19,Medical ,Community Health Centre,14.6336913,79.62124818
129,Andhra Pradesh,Kurnool,Allagadda,Allagadda,26246,community health center,Allagadda,02-Oct-19,Medical ,Community Health Centre,15.13327294,78.51434771
130,Andhra Pradesh,Anantapur,Amarapuram,Amarapuram,28561,Primary health center ,Amarapuram ,06-Sep-19,Medical ,Bedded Hospital,14.12735101,76.97838028
131,Andhra Pradesh,West Godavari,Bhimadole,Bhimadolu,150755,Community Health Centre ,Near MRO Office ,21-Aug-19,Medical ,Community Health Centre,16.81739167,81.26339333
132,Andhra Pradesh,Guntur,Amaravathi,Amaravathi,28586,bedded hospital ,amaravathi ,29-Aug-19,Medical ,Bedded Hospital,16.58033835,80.35768742
133,Andhra Pradesh,Chittoor,K V P Puram,Arai,43165,community Health centre,Arai,16-Aug-19,Medical ,Community Health Centre,13.47049999,79.7288617
134,Andhra Pradesh,Guntur,Rentachintala,Paluvoi,813159,pH sub center,main road,25-Aug-19,Medical ,Community Health Centre,16.54363667,79.49834
135,Andhra Pradesh,Krishna,Pamarru,Pamarru,813378,sruthi hospital,pamarru,04-Sep-19,Medical ,Bedded Hospital,16.33051,80.96936167
136,Andhra Pradesh,East Godavari,Sankhavaram,Annavaram,40907,community Health center,Annavaram,10-Sep-19,Medical ,Community Health Centre,17.28042667,82.403265
137,Andhra Pradesh,Visakhapatnam,Munchingiputtu,Panasaput,814397,sub centre running in Gram Panchayat building,panasaput,14-Sep-19,Medical ,Community Health Centre,18.41025839,82.51615204
138,Andhra Pradesh,Y S R Kadapa,Galiveedu,Pakkireddigaripalli,807831,bedded hospital,pakkireddigaripallu,05-Sep-19,Medical ,Bedded Hospital,14.02681667,78.500865
139,Andhra Pradesh,Chittoor,Thavanampalle,Aragonda,43122,Appollo Hospital,Aragonda,13-Aug-19,Medical ,Bedded Hospital,13.28293737,78.95576196
140,Andhra Pradesh,Nellore,Kondapuram,Pathauppulur,837176,collection center milk house,Pathauppulur,21-Aug-19,Medical ,Community Health Centre,14.94028245,79.63798402
141,Andhra Pradesh,Prakasam,Komarolu,Badinenipalli,63572,badinenipalle,badinenipalle,10-Sep-19,Medical ,Community Health Centre,15.2748726,78.96679548
142,Andhra Pradesh,Krishna,Challapalli,Challapalli,195890,community helth center,challapalli,28-Sep-19,Medical ,Community Health Centre,16.12080843,80.92758153
143,Andhra Pradesh,Kurnool,Pattikonda,Pattikonda,840920,Community Health Center,Gooty Road,07-Aug-19,Medical ,Community Health Centre,15.38990333,77.51122667
144,Andhra Pradesh,Chittoor,Puthalapattu,P KOTHAKOTA,797964,Community Health Centre,PKothakota,17-Aug-19,Medical ,Community Health Centre,13.41005092,79.10955806
145,Andhra Pradesh,Prakasam,Parchur,Parchur,824713,government hospital,parchur,13-Sep-19,Medical ,Bedded Hospital,15.96559181,80.2701463
146,Andhra Pradesh,Anantapur,Bukkarayasamudram,B.K. Samudram,56572,Bedded Hospital,Bukkarayasamudram,02-Aug-19,Medical ,Bedded Hospital,14.68951043,77.63184249
147,Andhra Pradesh,Vizianagaram,Badangi,Badangi,61227,community health centre,Badangi,07-Sep-19,Medical ,Community Health Centre,18.49395021,83.3605882
148,Andhra Pradesh,Visakhapatnam,Payakaraopeta,Payakaraopeta,842341,Govt health center,Payakaraopeta road,02-Sep-19,Medical ,Bedded Hospital,17.36599899,82.56453577
149,Andhra Pradesh,Y S R Kadapa,V N Palli,Payasampalli,842475,Bedded Hospital,Payasam Palli village,19-Aug-19,Medical ,Bedded Hospital,14.53576261,78.53210478
150,Andhra Pradesh,Guntur,Dachepalle,Pedagarlapadu,842941,pH centre,c village,04-Sep-19,Medical ,Community Health Centre,16.52706235,79.75163476
151,Andhra Pradesh,Kurnool,Orvakal,Orvakal,796411,Community health center,Kurnool NandyalRoad,21-Aug-19,Medical ,Community Health Centre,15.68579216,78.17041376
152,Andhra Pradesh,Chittoor,Pakala,Pakala,806876,Bedded hospital,Pakala,28-Aug-19,Medical ,Bedded Hospital,13.45442857,79.12684686
153,Andhra Pradesh,Visakhapatnam,Payakaraopeta,Mangavaram,671819,Primary health center,Mangavaram road,02-Sep-19,Medical ,Bedded Hospital,17.3478942,82.58639009
154,Andhra Pradesh,Kurnool,Mantralayam,Mantralayam,678192,S R S Mutt Mantralayam,Raichur road,26-Aug-19,Medical ,Bedded Hospital,15.939944,77.42129164
155,Andhra Pradesh,Anantapur,Pamidi,Pamidi,813477,medical,community health center,04-Oct-19,Medical ,Community Health Centre,14.94550333,77.59109
156,Andhra Pradesh,Prakasam,Pamur,Pamuru,813660,Community health center,"community health center , Pamuru",28-Aug-19,Medical ,Community Health Centre,15.09230674,79.4196805
157,Andhra Pradesh,Guntur,Gurazala,Palligunta,811959,health center,palligunta road,05-Sep-19,Medical ,Community Health Centre,16.54294595,79.65175493
158,Andhra Pradesh,Prakasam,Santhanuthlapadu,S N padu,929720,Beaded hospital,santhanuthalapadu,07-Aug-19,Medical ,Bedded Hospital,15.54015618,79.94357143
159,Andhra Pradesh,Guntur,Pedakakani,Pedakakani,843002,Bedded hospital,Pedakakani,27-Aug-19,Medical ,Bedded Hospital,16.33134008,80.48644869
160,Andhra Pradesh,Srikakulam,Jalumuru,Syrigam,938212,Bedded Hospital,Sairigam,10-Aug-19,Medical ,Bedded Hospital,18.49860833,83.97743167
161,Andhra Pradesh,Vizianagaram,Pachipenta,Pachipenta,800551,Community health Centre,Pachipenta,15-Sep-19,Medical ,Community Health Centre,18.48199024,83.11449166
162,Andhra Pradesh,Srikakulam,Palakonda,Palakonda,808875,Vaidyavidhanaparishedareahospitalpalakonda,Neelammacolonypalakonda,04-Oct-19,Medical ,Community Health Centre,18.60098386,83.76347688
163,Andhra Pradesh,East Godavari,Pedapudi,Pedapudi,843240,community health centre,near gpoffice,11-Sep-19,Medical ,Community Health Centre,16.94967387,82.12458336
